year,avg_temp,max_temp,min_temp,humidity,precipitation,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,agri_land_sqkm,co2_transport_mt,fert_consumption_kg_ha
1982,11.92,17.15,6.42,71.38,72.28,39.566259090909085,41.28915202020202,118.61768019480519,123.86745779220779,354.89595393217894,371.6023744227994,103.9282310966811,103.3905051948052,101.89109985569986,41066.0,0.1689,13.6494152557165
1983,11.71,17.15,5.93,70.37,84.55,43.82490007215007,41.28915202020202,131.35141655844157,123.86745779220779,393.0823045093795,371.6023744227994,108.4394366161616,109.18100602453103,108.20777193362194,41102.0,0.1824,16.2513070756361
1984,12.4,17.74,6.8,69.83,101.0,48.1710836940837,41.28915202020202,144.62973686868685,123.86745779220779,435.58495162337664,371.6023744227994,101.83938838383838,102.45992745310245,107.60935014430014,41138.0,0.2096,18.9137811031843
1985,12.52,17.59,7.12,70.69,84.44,48.791811724386726,41.28915202020202,145.66932860750362,123.86745779220779,432.5807253968254,371.6023744227994,115.9535923881674,115.26636461038962,108.79698156565657,41164.0,0.2094,18.8538047255038
1986,11.95,17.24,6.38,70.32,80.8,42.092564646464645,41.28915202020202,126.57900912698412,123.86745779220779,381.2519430735931,371.6023744227994,105.51869455266956,107.58064386724386,109.35255930735931,41320.0,0.2367,19.5364267129228
1987,12.56,17.86,6.98,69.66,130.35,47.463774025974026,41.28915202020202,142.74074895382395,123.86745779220779,428.7010805194805,371.6023744227994,108.45136673881673,111.04131677489177,113.24295093795095,41346.0,0.2364,23.4590405264981
1988,12.98,18.21,7.44,69.76,106.7,46.31358607503607,41.28915202020202,137.9735417027417,123.86745779220779,414.6158579365079,371.6023744227994,112.49664217171717,109.49564101731602,110.07562882395382,41382.0,0.2299,24.3346878782639
1989,12.13,17.41,6.58,69.35,94.19,42.9498152958153,41.28915202020202,129.94428437950938,123.86745779220779,391.5152005411256,371.6023744227994,96.174298015873,100.53446753246753,105.38593401875903,41408.0,0.2505,29.0840814917127
1990,12.42,17.52,7.13,72.74,105.3,46.30935898268398,41.28915202020202,138.6319581168831,123.86745779220779,415.1071277417027,371.6023744227994,107.98165064935064,108.03757499999999,108.54298852813852,41444.0,0.3386,31.2497845199104
1991,12.29,17.59,6.7,70.87,71.38,34.74245548340548,41.28915202020202,104.39567766955267,123.86745779220779,313.49345808080807,371.6023744227994,89.09853174603175,88.69026457431457,86.11460165945167,41470.0,0.4031,34.8967297762478
1992,12.19,17.55,6.6,70.38,58.97,28.112668795093793,41.28915202020202,84.45881259018759,123.86745779220779,253.27237943722943,371.6023744227994,80.09202207792208,78.52762135642136,73.94467911255411,41582.0,0.4369,35.2352511494006
1993,12.63,17.66,7.44,73.36,79.95,37.03566024531025,41.28915202020202,111.12850551948053,123.86745779220779,333.9837297979798,371.6023744227994,95.77817698412699,95.61539844877345,94.8583643939394,41694.0,0.4811,31.5523899425041
1994,12.71,18.0,7.06,71.12,63.01,34.68694181096681,41.28915202020202,104.03773243145743,123.86745779220779,312.29678643578643,371.6023744227994,85.34065847763348,83.84244787157287,81.91896295093795,41806.0,0.5557,39.8474656154934
1995,12.53,17.53,7.06,71.93,101.81,31.94488845598846,41.28915202020202,95.76664408369409,123.86745779220779,286.9033926767677,371.6023744227994,85.06356796536797,83.69280324675326,79.96035505050506,41918.0,0.6229,40.0902789662844
1996,12.52,17.65,7.12,72.59,111.26,36.488728643578646,41.28915202020202,109.54759487734488,123.86745779220779,328.80266244588745,371.6023744227994,97.36067135642136,97.74716742424242,100.5643898989899,42030.0,0.6429,44.007690664388
1997,11.55,16.53,6.15,73.31,81.56,33.664492316017316,41.28915202020202,100.89603257575757,123.86745779220779,301.3801218975469,371.6023744227994,89.59974541847042,88.08889314574314,80.81501875901876,42142.0,0.7382,45.8656881986518
1998,12.89,17.73,7.83,73.87,104.19,44.856728715728714,41.28915202020202,134.68234953102453,123.86745779220779,404.62034368686864,371.6023744227994,106.3974667027417,107.6803284992785,108.38838971861472,42254.0,0.7719,51.7660091176345
1999,13.12,18.18,7.73,71.78,104.84,42.960110569985574,41.28915202020202,128.8140954184704,123.86745779220779,386.6049918109668,371.6023744227994,97.32460324675324,96.23637507215007,96.88752766955267,42366.0,0.775,40.1633764465623
2000,12.3,17.32,7.13,74.0,82.06,49.041706313131314,41.28915202020202,147.1874472222222,123.86745779220779,442.6491761544012,371.6023744227994,106.87337655122654,106.19559217171718,108.0267361111111,42491.0,0.8256,31.016992353441
2001,12.67,17.77,7.41,73.32,87.67,42.19555303030303,41.28915202020202,126.65265739538239,123.86745779220779,380.00221031746037,371.6023744227994,99.18308553391053,98.6048852813853,97.43220021645023,42590.0,0.7503,30.7966029723991
2002,12.44,17.32,7.24,73.44,99.8,43.27064675324675,41.28915202020202,129.7354512987013,123.86745779220779,389.0927162698412,371.6023744227994,105.70296699134198,106.07303354978356,108.14343470418471,42410.0,0.7905,16.6809421841542
2003,12.43,17.32,7.28,73.02,96.89,43.45400108225108,41.28915202020202,130.09241118326116,123.86745779220779,389.305888961039,371.6023744227994,105.85737269119768,107.02255555555554,108.05676800144302,42270.0,0.7833,5.05874730021598
2004,12.66,17.65,7.44,73.79,94.73,45.73382034632034,41.28915202020202,137.41083174603173,123.86745779220779,412.78820158730156,371.6023744227994,106.7386795093795,106.69313286435786,109.53057687590189,42180.0,0.8373,8.02521739130435
2005,12.68,17.87,7.22,70.98,79.59,36.785216233766235,41.28915202020202,110.46895331890332,123.86745779220779,330.275359992785,371.6023744227994,103.00276612554113,104.66615865800865,105.67491821789321,42020.0,0.8368,3.56885964912281
2006,13.13,18.24,7.79,71.92,63.29,42.249054906204904,41.28915202020202,126.70039985569986,123.86745779220779,380.3373685064935,371.6023744227994,105.29979188311688,105.67621933621933,104.05775205627707,41850.0,0.8845,5.64203539823009
2007,12.85,17.76,7.73,73.11,102.09,45.81933207070707,41.28915202020202,137.51446323953823,123.86745779220779,412.9325974386724,371.6023744227994,115.20409632034632,117.61394321789322,121.7683344155844,41660.0,0.9084,1.60892857142857
2008,12.73,17.79,7.6,72.55,89.82,45.01459386724387,41.28915202020202,134.97950479797979,123.86745779220779,405.7998264069264,371.6023744227994,99.57957034632035,99.1641952020202,101.38490277777777,41520.0,1.3378,1.36486486486486
2009,13.23,18.58,7.7,69.99,94.43,44.141584054834055,41.28915202020202,132.43697088744588,123.86745779220779,397.3740822150072,371.6023744227994,99.05330064935063,96.62701504329004,96.53852041847043,41400.0,1.7524,18.2027272727273
2010,13.36,18.6,8.03,71.21,110.1,41.166248124098125,41.28915202020202,123.52940660173161,123.86745779220779,370.16017644300143,371.6023744227994,95.00021648629148,94.66207972582971,93.58218275613275,41260.0,1.9403,25.0866972477064
2011,12.51,17.53,7.43,73.36,81.52,45.316506096681096,41.28915202020202,135.98632406204905,123.86745779220779,408.4023589466089,371.6023744227994,101.91534541847042,101.90274848484847,103.49068127705628,41266.0,1.9593,35.8098672955102
2012,12.31,17.59,6.81,70.34,91.69,41.49649588744589,41.28915202020202,124.42194671717172,123.86745779220779,373.17668860028857,371.6023744227994,99.38143344155844,99.75623665223665,100.26888524531023,41210.0,1.6671,26.5436949640263
